territory,name,class,year,area
0,ANP,3,1985,1255.0602580208888
1,ANP,3,1986,1255.5001994035795
2,ANP,3,1987,1254.8906594780424
3,ANP,3,1988,1252.206911001785
4,ANP,3,1989,1251.565329645584
5,ANP,3,1990,1252.6254947389682
6,ANP,3,1991,1253.2083674318992
7,ANP,3,1992,1253.1254552595965
8,ANP,3,1993,1252.7343252321302
9,ANP,3,1994,1252.5561966360003
10,ANP,3,1995,1251.3720480088634
11,ANP,3,1996,1250.3436174262213
12,ANP,3,1997,1249.4351833712278
13,ANP,3,1998,1249.8518853953976
14,ANP,3,1999,1248.8280998703121
15,ANP,3,2000,1248.7107080373648
16,ANP,3,2001,1248.4335611760375
17,ANP,3,2002,1248.4058998781247
18,ANP,3,2003,1248.1327399107174
19,ANP,3,2004,1249.1587400184444
20,ANP,3,2005,1250.2122029179197
21,ANP,3,2006,1250.4633105670275
22,ANP,3,2007,1251.4213017883415
23,ANP,3,2008,1251.8261926239127
24,ANP,3,2009,1252.4562293202005
25,ANP,3,2010,1252.1616228710416
26,ANP,3,2011,1251.40290211445
27,ANP,3,2012,1250.7085309472754
28,ANP,3,2013,1251.0228801178068
29,ANP,3,2014,1249.7528527066736
30,ANP,3,2015,1249.3710625075157
31,ANP,3,2016,1249.942997346993
32,ANP,3,2017,1250.3709517403652
33,ANP,3,2018,1251.3735178360694
34,ANP,3,2019,1251.3582710553676
35,ANP,3,2020,1251.879333895639
36,ANP,3,2021,1254.1350168490087
37,ANP,3,2022,1254.3414142836393
38,ANP,3,2023,1254.547322663156
39,ANP,3,2024,1254.7961345978488
40,ANP,6,1985,4.0320755603637695
41,ANP,6,1986,4.030307098510741
42,ANP,6,1987,4.098186529663085
43,ANP,6,1988,4.105287817077635
44,ANP,6,1989,4.04183423120117
45,ANP,6,1990,3.9362859717407233
46,ANP,6,1991,3.8129078764038074
47,ANP,6,1992,3.8950293969726557
48,ANP,6,1993,3.800249257507323
49,ANP,6,1994,4.070016601501464
50,ANP,6,1995,4.146924601379394
51,ANP,6,1996,3.87467243029785
52,ANP,6,1997,3.837152329833983
53,ANP,6,1998,3.889872119201658
54,ANP,6,1999,3.7468354967651316
55,ANP,6,2000,3.891550893005367
56,ANP,6,2001,3.8594349243164006
57,ANP,6,2002,3.921935819458002
58,ANP,6,2003,3.9568516737670887
59,ANP,6,2004,4.0461520535278295
60,ANP,6,2005,4.1594943527832005
61,ANP,6,2006,4.365698030334464
62,ANP,6,2007,4.4005656514282165
63,ANP,6,2008,4.434488549804685
64,ANP,6,2009,4.477375598999019
65,ANP,6,2010,4.663890520263667
66,ANP,6,2011,4.727266331298824
67,ANP,6,2012,4.80216258258056
68,ANP,6,2013,5.0121312991943325
69,ANP,6,2014,5.1683479038085895
70,ANP,6,2015,4.973474004516599
71,ANP,6,2016,5.1715951795043855
72,ANP,6,2017,5.31891614080809
73,ANP,6,2018,5.265383207031236
74,ANP,6,2019,5.219084670227039
75,ANP,6,2020,5.577384202636709
76,ANP,6,2021,5.70523819061278
77,ANP,6,2022,5.926636688293443
78,ANP,6,2023,5.340068154846188
79,ANP,6,2024,5.202183642150872
80,ANP,11,1985,4.354422688781735
81,ANP,11,1986,4.508842365600588
82,ANP,11,1987,4.620514704467773
83,ANP,11,1988,4.4087195615844745
84,ANP,11,1989,4.852436002258297
85,ANP,11,1990,4.880098131408687
86,ANP,11,1991,4.0314686831664925
87,ANP,11,1992,4.140382724914541
88,ANP,11,1993,3.790456596740718
89,ANP,11,1994,3.7781675451660135
90,ANP,11,1995,3.9772958695068326
91,ANP,11,1996,4.256749305908193
92,ANP,11,1997,4.709698909545891
93,ANP,11,1998,4.86963686614989
94,ANP,11,1999,5.076097225463849
95,ANP,11,2000,4.6261521801147385
96,ANP,11,2001,4.47343385919189
97,ANP,11,2002,4.3295798287353495
98,ANP,11,2003,4.649262888610844
99,ANP,11,2004,4.611702479614257
100,ANP,11,2005,4.547455398254395
101,ANP,11,2006,4.423373023864748
102,ANP,11,2007,4.17675855078125
103,ANP,11,2008,4.061646163330074
104,ANP,11,2009,3.7650316981201097
105,ANP,11,2010,3.5602965186157167
106,ANP,11,2011,3.4969151096191324
107,ANP,11,2012,3.2530278338012604
108,ANP,11,2013,3.0574294412841696
109,ANP,11,2014,3.4006713647460836
110,ANP,11,2015,3.754530993774407
111,ANP,11,2016,3.8922913455200185
112,ANP,11,2017,3.6012042709350505
113,ANP,11,2018,3.777294081787108
114,ANP,11,2019,3.979122452453613
115,ANP,11,2020,4.131120456115718
116,ANP,11,2021,3.942578371826169
117,ANP,11,2022,3.7479568168945296
118,ANP,11,2023,3.8663542735595686
119,ANP,11,2024,3.6469893895873997
