indice_sistema,area,cobertura,territorio,año,geo
0,1255.0602580208888,3,ANP,1985,
1,1255.5001994035797,3,ANP,1986,
2,1254.8906594780424,3,ANP,1987,
3,1252.206911001785,3,ANP,1988,
4,1251.565329645584,3,ANP,1989,
5,1252.6254947389682,3,ANP,1990,
6,1253.2083674318992,3,ANP,1991,
7,1253.1254552595965,3,ANP,1992,
8,1252.7343252321302,3,ANP,1993,
9,1252.5561966360003,3,ANP,1994,
10,1251.3720480088634,3,ANP,1995,
11,1250.3436174262213,3,ANP,1996,
12,1249.4351833712278,3,ANP,1997,
13,1249.8518853953976,3,ANP,1998,
14,1248.828099870312,3,ANP,1999,
15,1248.7107080373648,3,ANP,2000,
16,1248.4335611760375,3,ANP,2001,
17,1248.4058998781247,3,ANP,2002,
18,1248.1327399107174,3,ANP,2003,
19,1249.1587400184444,3,ANP,2004,
20,1250.2122029179195,3,ANP,2005,
21,1250.4633105670275,3,ANP,2006,
22,1251.4213017883417,3,ANP,2007,
23,1251.826192623913,3,ANP,2008,
24,1252.4562293202005,3,ANP,2009,
25,1252.1616228710416,3,ANP,2010,
26,1251.40290211445,3,ANP,2011,
27,1250.7085309472754,3,ANP,2012,
28,1251.0228801178068,3,ANP,2013,
29,1249.7528527066736,3,ANP,2014,
30,1249.3710625075155,3,ANP,2015,
31,1249.942997346993,3,ANP,2016,
32,1250.3709517403652,3,ANP,2017,
33,1251.3735178360694,3,ANP,2018,
34,1251.3582710553676,3,ANP,2019,
35,1251.879333895639,3,ANP,2020,
36,1254.1350168490087,3,ANP,2021,
37,1254.341414283639,3,ANP,2022,
38,1254.547322663156,3,ANP,2023,
39,1254.7961345978488,3,ANP,2024,
40,4.0320755603637695,6,ANP,1985,
41,4.030307098510741,6,ANP,1986,
42,4.098186529663085,6,ANP,1987,
43,4.105287817077635,6,ANP,1988,
44,4.04183423120117,6,ANP,1989,
45,3.9362859717407233,6,ANP,1990,
46,3.8129078764038074,6,ANP,1991,
47,3.895029396972656,6,ANP,1992,
48,3.800249257507323,6,ANP,1993,
49,4.070016601501464,6,ANP,1994,
50,4.146924601379394,6,ANP,1995,
51,3.87467243029785,6,ANP,1996,
52,3.837152329833983,6,ANP,1997,
53,3.889872119201658,6,ANP,1998,
54,3.746835496765131,6,ANP,1999,
55,3.891550893005367,6,ANP,2000,
56,3.859434924316401,6,ANP,2001,
57,3.921935819458002,6,ANP,2002,
