system:index,area,class,territory,year,.geo
0_0_0,1019.1725953168565,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,372.3893210770793,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,15.836000824035494,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,0.12762255255126947,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.0017845057983398437,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,22.509127275085795,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,0.1516893588256837,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2.3210956340332114,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.009812881835937499,24,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.5254116257934571,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,38.78900534283487,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,21929.340567500287,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,3132.45384838382,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,196.86236621819882,11,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,35.155382476867146,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.664354114257813,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,66.90957674017294,18,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,7.256420384155254,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,23.87991898498539,23,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,0.31810685217285173,24,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,0.33154121240234374,25,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,355.39195761890034,33,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,3885.9850568596485,3,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,181.0542076428877,6,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,25.500592238586464,11,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,0.240039111694336,13,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,0.2318753173828126,15,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,60.02215668676839,18,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,48.795103238282,21,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,1.024828199279789,23,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,2.1408111887206975,24,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,0.7134771580810537,25,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,71.11317188305794,33,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,0.051773858703613285,68,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,11273.389276241764,3,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,842.7069440661837,6,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,178.10202964856379,11,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,3.565469505798338,13,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,32.558858987854094,18,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,1.5115936741332976,21,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,0.01876848468017578,23,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,0.26815447338867193,25,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,54.8248948338012,33,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,2.8331183865356735,68,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,8727.21084973154,3,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,1377.4714403195896,6,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,24.862646896362065,11,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,0.42710452233886725,13,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,11.589297379577575,18,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,0.48172262597656257,21,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,3.0378368622436542,23,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,0.09291092712402355,24,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,0.2528281798095711,25,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,187.6439341004031,33,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,13244.754964768055,3,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,1418.989724444205,6,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,184.21787043341368,11,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,1.3802095674438475,13,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,17.23852919702149,18,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,0.509170020385742,21,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,1.6747350346679657,23,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,0.16792612207031243,25,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,219.46597878704867,33,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,5212.279622081527,3,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,1062.9702548410337,6,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,34.940092783081006,11,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,0.625054819091798,13,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,6.751660207153321,18,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,0.43222149493408213,21,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,5.741218447265612,23,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,0.04286570471191408,24,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,0.23041127386474602,25,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_9,157.19027853869702,33,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_10,0.012498130187988279,68,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,982.100402329856,3,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,37.82023834729055,6,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,0.6053626837158195,11,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,0.013387182189941407,13,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,0.00624994873046875,15,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,1.5428150897216784,18,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,0.23839460754394504,21,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,0.016071293640136722,24,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,0.010714281127929685,25,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,4.715078011657717,33,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,11381.006876722202,3,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,500.39300726438324,6,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,42.71949533166503,11,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,3.4120536640624977,13,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,1.3584224358520542,15,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,36.079819122253326,18,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,0.723906298522949,21,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,0.27341657537841796,23,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,0.2841948712158203,24,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_9,0.09741380468750002,25,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_10,35.01665204296905,33,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,152.22515570469642,3,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,45.81710096226816,6,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,1.1854106772460933,13,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,3.2236731193238124,18,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,0.023243350830078117,21,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,0.16717323901367154,23,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,0.013409620056152349,24,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,0.0563204044799805,25,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,6.755766865784236,33,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,0.06794210278320315,68,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,11013.287064975042,3,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,955.0195416616361,6,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,70.24413797814894,11,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,3.9208307755126772,13,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,11.958815954162649,18,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,2.7551322133178724,21,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,0.43889445086669915,23,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,0.9690272081909173,25,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_8,233.9894716790179,33,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,12868.598517811251,3,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,1442.852511968593,6,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,135.86397245886118,11,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,0.8472750117187504,13,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_4,5.557331577026378,18,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,0.11977192852783204,21,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,2.488102575988769,23,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,0.06524208142089843,25,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_8,355.7360576200038,33,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_176_0,8.919695434570313E-4,3,177.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_176_1,1.1979260078735356,13,177.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_376_0,51.93057066345269,3,377.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
