system:index,area,class,territory,year,.geo
0_0_0,30626.112318652944,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,3060.477507718216,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,22.52700750122068,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,8.927700805664063E-4,12,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,10.497476358032236,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.22930487176513698,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,1.3257816599121095,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,10.782761026916507,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.47231178668212875,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.9628756506347655,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,18.213610574707054,29,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,53.36321297863769,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,18.67289713848897,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,705.3104286148655,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,17.346612785339282,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,60.461393350708384,11,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,180.0672394935901,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.06070540588378906,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,0.016069627380371092,18,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,0.2169356389770507,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,7.352798456787142,23,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
