system:index,area,class,territory,year,.geo
0_1,101689.35095004273,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,11369.938140978971,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,909.7545674946323,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,50.89983986651556,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2.262686322021488,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,275.94166133612146,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,62.9983691954353,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,41.065988488403356,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2.918183339477533,24,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,3.6884678253173817,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,1720.6322473241758,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2.9653324782104784,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,101589.6559466297,3,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,11299.425385636789,6,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,1043.3661014566578,11,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,50.32871076971385,13,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2.101159115234379,15,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,299.75464166772537,18,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,69.77786754199188,21,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,18.712106624328605,23,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,3.4610305322265513,24,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
