system:index,area,class,territory,year,.geo
0_253_0,0.18584015325927727,3,254.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_253_1,0.010721509887695312,11,254.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_253_2,0.025016930480957024,13,254.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_253_3,0.0026803837890625,21,254.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_275_0,0.04289274877929688,3,276.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_275_1,0.028595575012207025,11,276.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_275_2,0.13493419244384747,13,276.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_398_0,0.637632390258789,13,399.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469_0,8.919695434570313E-4,3,470.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_469_1,1.1970341575317387,13,470.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_470_0,0.5848719523315434,3,471.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_470_1,0.06072270416259769,15,471.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_470_2,0.021431550109863282,21,471.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_471_0,1.042853610839844,3,472.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_471_1,0.001787286865234375,25,472.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_474_0,1.2388021695556657,3,475.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_474_1,0.04198255725097656,13,475.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_474_2,0.0714430830078125,15,475.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_474_3,0.010716583190917969,21,475.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_474_4,0.0044655869140625,33,475.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_476_0,0.4901268119506835,3,477.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_478_0,1.143331730895996,3,479.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_478_1,0.8592342359619134,13,479.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_480_0,0.8558391621704095,3,481.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_480_1,0.04823955621337889,13,481.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_480_2,0.0026799876708984375,33,481.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_481_0,0.0026798052368164063,3,482.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_481_1,0.029477863159179687,13,482.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_482_0,0.402956316040039,3,483.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_482_1,8.935053100585938E-4,25,483.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
