system:index,area,class,territory,year,.geo
0_0_0,95085.22296570688,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,10713.59209420401,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,844.1043830770894,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,47.32586185320992,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,2.262686322021488,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,270.90523732727064,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,60.82158934722973,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,40.74866761297611,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,2.918183339477533,24,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,2.845484484924316,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,1597.322513590221,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,2.9653324782104784,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,8.919695434570313E-4,3,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,1.1979260078735356,13,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,70954.69380322089,3,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,5656.22636212407,6,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,101.8554569849247,11,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,1749.2532187313955,12,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,1739.5661070237193,13,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,9890.021116128652,15,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,20.979588449706885,18,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,1762.9858780643158,21,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,98.49534055963167,23,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,9.053585037536651,24,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_10,86.15675180731189,25,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_11,0.015191699829101561,30,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_12,749.6106909199768,33,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,4329.769127279587,3,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,9.616715916809035,6,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,1.7804451273193334,11,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,118.86448694219968,13,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_4,225.53225587427144,15,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,0.0026804838867187496,18,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,223.8951758893999,21,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,8.578122875671399,23,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_8,0.06790945739746093,24,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_9,3.383831327148438,25,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_10,19.802901801452677,33,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_11,1.5968968027954085,68,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,0.6367405399169922,13,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,57297.47252744376,3,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,9662.310423355746,6,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,633.2356160142796,11,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,1873.3857478570426,12,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,73.48410019604493,13,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,14.998551848510731,15,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,145.6448260671385,18,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_7,49.316360411377,21,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_8,49.153101906433115,23,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_9,2.3975401024169942,24,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_10,19.695966701293955,25,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_11,49.647865251525204,29,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_12,613.3003449107025,33,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_13,176.61481533245333,68,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,47899.11173346676,3,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,4525.248247325074,6,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2,107.84398225176876,11,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_3,534.0601183271549,12,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_4,533.325256736575,13,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_5,1232.414767515291,15,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_6,18.55879340991209,18,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_7,243.85297624395866,21,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_8,30.869602843994123,23,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_9,3.269029861267089,24,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_10,13.640190718383806,25,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_11,0.027687281860351562,30,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_12,334.0195691756589,33,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_13,1.0276159660034194,68,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,1.7602413120727536,3,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1,0.8592342359619134,13,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,28008.264722464304,3,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1,3185.176844451256,6,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_2,543.2599014133937,11,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_3,6840.743028738695,12,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_4,988.2240671326828,13,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_5,5406.716657477867,15,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_6,88.81848310888685,18,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_7,744.71271505292,21,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_8,144.22228803887924,23,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_9,5.167698838562029,24,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_10,180.17647503985518,25,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_11,293.6561244839473,33,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_12,0.6574872662353515,68,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,2479.853512159906,3,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1,23.45273027356001,11,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_2,171.22837533875236,13,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_3,34.984713763000606,15,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_4,8.138088469238305,18,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_5,133.62607460608064,21,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_6,2.438687327941899,23,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_7,0.1814546583251953,24,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_8,2.5887634345703123,25,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_9,0.8581711245117202,27,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_10,46.30759068615871,33,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_11,0.45589351489257846,68,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,20043.679616742083,3,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_1,2091.488680019158,6,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_2,67.79603070813674,11,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_3,69.25795494317703,13,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_4,2162.886061157085,15,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_5,37.274983140320444,18,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_6,894.6667499291996,21,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_7,53.86963246545414,23,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_8,7.316418370178224,24,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_9,57.71347542395004,25,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_10,0.02413436730957031,27,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_11,0.1474793574218752,30,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_12,0.5569130281372069,31,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_13,321.31756909026524,33,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_14,0.691776160949707,68,25.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_0,49321.258500141004,3,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_1,2439.631919128922,6,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_2,72.05759013165239,11,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_3,463.00103410124643,13,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_4,33.38783573815916,15,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_5,214.03654179815786,18,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_6,111.07120371496576,21,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_7,6.083470570434569,23,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_8,0.7364880965576169,24,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_9,4.994771071105957,25,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_10,1.9689687545166064,29,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_11,0.014301981201171878,30,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_12,434.59702954461454,33,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_13,4.164120526733391,68,33.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_0,27035.984168486844,3,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_1,7702.5682481429585,6,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_2,2221.885832661906,11,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_3,3747.8302347067734,12,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_4,210.86184212731735,13,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_5,210.59654000384495,15,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_6,86.2392062488404,18,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_7,265.7115677465209,21,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_8,94.79314583374025,23,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_9,0.06417291369628904,24,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_10,91.98885725408955,25,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_11,8.916176147460938E-4,27,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_12,22.579317819213774,29,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_13,605.8966822539694,33,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_14,334.755572388602,68,34.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,94972.33120006825,3,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,10657.83857517166,6,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,977.895592708178,11,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,46.7198698916621,13,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,2.101159115234379,15,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,294.5027807632446,18,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,67.53851510699427,21,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,18.691547078857422,23,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,3.4610305322265518,24,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,1.9179837397460935,25,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,1628.0054631382595,33,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,0.0312820296020508,68,1.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,8.919695434570313E-4,3,6.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1,1.1979260078735356,13,6.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,70747.6172559008,3,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1,5638.382375308526,6,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_2,129.44736107916248,11,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_3,1757.0005555669013,12,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_4,1718.8143446492206,13,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_5,10057.86971028246,15,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_6,22.852355846801597,18,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_7,1783.8221387438812,21,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_8,97.76870869537365,23,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_9,9.432235833068878,24,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_10,90.12009005438219,25,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_11,0.015191699829101561,30,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_12,765.7707670922806,33,10.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,4351.432673708266,3,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1,9.571130537658645,6,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_2,1.7482670404052716,11,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_3,118.77334912921138,13,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_4,223.44460898279195,15,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_5,0.0026804838867187496,18,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_6,202.51034633575063,21,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_7,9.934817037841809,23,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_8,0.06790945739746093,24,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_9,3.4562262467041025,25,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_10,20.236359314147993,33,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_11,1.7121815039062496,68,12.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,0.6367405399169922,13,16.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,57502.955960352614,3,17.0,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
