system:index,area,class,territory,year,.geo
0_155_0,8.919695434570313E-4,3,156.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_155_1,1.1979260078735356,13,156.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_384_0,0.04289274877929688,3,385.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_384_1,0.028595575012207025,11,385.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_384_2,0.13493419244384747,13,385.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_402_0,0.18584015325927727,3,403.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_402_1,0.010721509887695312,11,403.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_402_2,0.025016930480957024,13,403.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_402_3,0.0026803837890625,21,403.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_537_0,0.6367405399169922,13,538.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_615_0,1.143331730895996,3,616.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_615_1,0.8592342359619134,13,616.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617_0,0.402956316040039,3,618.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_617_1,8.935053100585938E-4,25,618.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_619_0,0.5848719523315434,3,620.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_619_1,0.06072270416259769,15,620.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_619_2,0.021431550109863282,21,620.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_620_0,0.503960741027832,3,621.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_621_0,0.2376980000610352,3,622.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_621_1,0.004468028991699219,15,622.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_621_2,8.936052856445313E-4,21,622.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_621_3,8.936050415039062E-4,25,622.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_622_0,0.9016142125854492,3,623.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_622_1,0.08935092864990236,11,623.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_622_2,0.42977587780761745,13,623.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_622_3,8.93489990234375E-4,25,623.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_624_0,0.035719889404296885,3,625.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_624_1,8.930009155273437E-4,33,625.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630_0,1.238802169555666,3,631.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630_1,0.04198255725097656,13,631.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630_2,0.0714430830078125,15,631.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630_3,0.010716583190917969,21,631.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_630_4,0.0044655869140625,33,631.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_635_0,0.31902658746337903,3,636.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_636_0,0.1598185352172852,3,637.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_636_1,0.0017857144775390624,13,637.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_640_0,0.4901268119506835,3,641.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_643_0,1.0410663961791995,3,644.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_643_1,0.001787286865234375,25,644.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_644_0,0.8558391621704096,3,645.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_644_1,0.04823955621337889,13,645.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_644_2,0.0026799876708984375,33,645.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_646_0,0.0026798052368164063,3,647.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_646_1,0.029477863159179687,13,647.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_704_0,0.02145240869140625,3,705.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_704_1,0.025027827087402338,11,705.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_704_2,0.06346343951416013,13,705.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_719_0,0.19392596722412117,3,720.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_719_1,0.03574566479492187,11,720.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_719_2,0.21626190515136717,13,720.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
