system:index,area,class,territory,year,.geo
0_0_0,705.3104286148655,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,17.346612785339282,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,60.461393350708384,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,180.06723949359008,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.06070540588378906,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.016069627380371092,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,0.2169356389770507,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,7.352798456787143,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.818687794738771,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.005356322448730469,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,194.84333951732873,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,25.86217662304649,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,55.477864005492826,11,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,507.09603356269423,12,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,59.928670068907095,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,18.19831245166013,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,0.6010349943847659,18,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,19.04463850512692,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,0.47056966522216886,23,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,0.823383528930664,25,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,2.285913007812501,33,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,6699.319868115745,3,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,285.59526541119556,6,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,0.4987149570922854,11,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,501.57843212040893,13,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,2.69162008392334,15,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,1.1931192774658206,18,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11.143710023925806,21,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,0.29934732110595713,23,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,0.11796003649902344,25,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,17.36256197076432,33,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,4.759074972473139,68,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,2716.9163852851043,3,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,405.9618273334973,6,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,3.578955471618655,11,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,1.3233633004760734,13,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,0.32067929577636717,15,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,46.32896332360833,18,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1.1415491055297846,21,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,0.29114524963378907,23,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
