system:index,area,class,territory,year,.geo
0_0_0,0.075968710571289,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,0.17606867199707013,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.020556240966796875,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,0.015197100891113284,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,0.0205607855834961,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,0.06525813470458987,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.04648524401855473,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.06615205279541016,15,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,0.0911825559082032,21,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,0.2823189351806644,3,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,0.008040715576171876,6,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,0.2912532156982428,15,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,0.2608762712402341,3,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,0.014294544677734377,6,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,0.43955847271728604,15,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,0.055391471313476576,21,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,15.214207845825786,3,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,0.07508322015380864,11,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,7.597707201477075,13,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,0.016983164184570316,21,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,0.052736830566406295,33,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,30.58452835675002,3,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,0.5541624915771486,15,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,4.3385695070190415,21,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,0.008044302368164063,23,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,0.02323917614746093,25,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,0.02860222448730469,33,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,0.018769724975585933,21,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,0.3985941916503904,3,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,7.444585145141585,15,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,0.056303604614257825,21,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,0.047366665771484406,25,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,2.5489678015747215,3,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,0.102780724609375,6,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,0.8579982974853538,11,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,3.18175364642332,15,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,0.10010004510498051,21,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,0.05273128942871098,23,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,0.015193756408691406,25,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,0.03575003802490234,33,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,0.047379072021484364,3,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,0.11353100170898447,6,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,0.005363668518066406,15,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,0.024136508300781245,21,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,0.014303127990722652,15,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,0.00893945458984375,21,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,0.7557412175292928,3,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,0.24655379583740256,15,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,0.025906002380371097,21,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,0.08211513037109366,3,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,0.4311056726684578,15,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2,0.013388389343261716,21,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_3,0.007140473327636718,33,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,0.0017876044311523438,3,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,0.029495481628417964,21,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,0.0071503918457031254,21,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,0.2045547556152345,3,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,0.043769113098144546,6,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,0.3573007646484367,15,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,8.93248291015625E-4,21,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,0.031225276245117187,15,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,0.021411626220703122,18,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,0.0017876055908203124,3,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1,0.02413267572021486,21,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,0.051832974975586005,3,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1,0.45309169415283185,15,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_2,0.01072405908203125,21,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_3,0.0026810170288085935,23,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,0.22134010656738173,15,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1,0.007140002014160157,21,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,0.01340918322753906,15,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1,0.005363673400878906,21,22.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,0.2064370317993159,3,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_1,0.16711558874511698,15,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_2,0.007149334411621093,21,23.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,0.5586214989013671,3,24.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_1,0.4120391914062495,15,24.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_2,0.01161932098388672,21,24.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
