system:index,area,class,territory,year,.geo
0_2_0,60.69001300812017,3,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,8.932821655273438E-4,6,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,0.028584357360839845,13,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,9.469343281433076,15,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,0.5940100618286137,21,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,0.003573120788574219,25,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,9843.195659520416,3,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,963.8637531742629,6,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,4.286334527832016,11,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,20.228524104492198,13,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,25.486469796264565,18,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,2.846033728759772,21,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1.7244017500610356,23,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,0.06610499859619143,24,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,1.3683503916625983,25,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_9,18.291725747985836,29,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_10,80.17682154113768,33,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_11,2.56430084906006,68,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,0.1260266763916016,3,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,0.02502655657958986,13,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2,0.008044259826660155,25,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_3,0.03932747564697262,33,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,105.23774294848619,3,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,0.3334253893432616,33,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,7945.042011780921,3,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,546.3134147191859,6,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,0.08220989880371095,11,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,214.1723272413912,13,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,13.363151066223159,15,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,1.7557545675659136,18,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,10.96258153503418,21,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_7,0.3975358919067383,23,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_8,0.04735585919189455,24,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_9,0.34041725939941375,25,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_10,40.777174475219894,33,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_11,1.0276159660034194,68,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,22.853331346862667,3,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1,0.0035745987548828125,25,20.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,8791.531903767367,3,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_1,885.546773433583,6,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_2,5.139249918457034,11,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_3,0.619194512695313,13,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_4,0.0714783372802734,18,21.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
