system:index,area,class,territory,year,.geo
0_0_0,204522.5356932605,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,25834.245871155123,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,3125.794605834856,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,4491.316135274173,12,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,1162.0540841390493,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,457.0587279907826,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,615.1739321439227,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,544.7716078411855,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,99.7567180996092,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,3.0653140505371117,24,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,57.54770486199964,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,55.03694701342698,29,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,0.014301981201171878,30,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,1400.0543190310705,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,365.2453213437983,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,31693.97767375661,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,2812.3767401780515,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,154.26175860950076,11,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.016922009582519534,12,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,137.00185360107412,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
