system:index,area,class,territory,year,.geo
0_0_0,0.0017839960327148438,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,0.001783488037109375,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.0017843005981445312,13,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,0.0026791506958007815,3,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,0.0017859320678710938,3,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,0.006256226806640625,3,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,0.002681212463378906,13,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,0.0026812180786132812,21,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,0.004468274536132812,3,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,8.936685791015625E-4,13,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,8.9375537109375E-4,3,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,0.0017875672607421875,13,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,0.0017872083740234374,3,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,0.022340100585937498,13,9.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,500.16850536529853,3,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,6.866577305663976,6,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,2.029498172119134,11,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,0.677100798767088,13,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,499.82014618523965,15,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,88.38673423980474,21,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,4.521700799987787,23,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,0.6389275228881849,24,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,2.3833116172485345,25,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,6.607579173217787,33,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,402.9357506749782,3,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,9.031464388366787,6,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,0.38969710321044887,11,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,891.1753727862223,15,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,16.66280004241944,21,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,2.3559861144409178,23,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,0.2011028084106451,24,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,7.595740810913108,25,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_8,3.7476143673095743,33,11.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,48.87421456835939,3,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,0.11707583142089847,11,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,385.4563681489305,15,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,22.705599168152023,21,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_4,2.371015880798338,23,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,0.07685664373779286,24,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,1.6819721409301764,25,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,2.357651567321777,33,12.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,175.2163077578124,3,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,39.094344203124216,6,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,0.6569727395629881,11,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_3,165.5730812206365,15,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_4,5.8760712728881845,21,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_5,2.962166562805172,23,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_6,0.28066372338867185,24,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_7,0.4996484924316411,25,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_8,10.76906203942874,33,13.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,192.9246210888112,3,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,45.26312428253079,6,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2,0.4496177276000977,11,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_3,210.58416637108593,15,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_4,8.618695524230905,21,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_5,2.6861087958984413,23,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_6,0.13497498394775398,24,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_7,2.444704707397462,25,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_8,13.366186127990836,33,14.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,1490.7778676323514,3,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,0.050942353820800784,6,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2,0.6962122315673841,11,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_3,0.5601685468750013,13,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_4,646.972248573871,15,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_5,0.0017872933349609376,18,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_6,386.8180698221597,21,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_7,4.18504384954834,23,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_8,4.57718343304446,24,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_9,4.7352865496826,25,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_10,8.602371588745138,33,15.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,1024.9182440400334,3,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,6.35669543096929,6,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_2,237.26035506486724,15,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_3,37.175573979309085,21,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_4,2.7895361893920807,23,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_5,0.13406244219970712,24,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_6,0.6774567620239255,25,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_7,1.9064036517944347,33,16.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,754.6687622084091,3,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,337.7673238302886,15,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,85.1947316559416,21,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,6.15155469531253,23,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,0.21359650622558632,24,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,0.8517066333618177,25,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,3.548921983459472,33,17.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,716.696771317741,3,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,1.431012448730466,6,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2,0.6712163902587893,11,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_3,846.9326843962035,15,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_4,8.937047729492188E-4,18,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_5,128.67120123498506,21,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_6,0.5237068729858398,23,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_7,0.15282696264648438,24,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_8,7.624638849914575,25,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_9,1.9866968705444292,33,18.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,337.7327305771384,3,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_1,30.441981645325008,6,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_2,7.735083740600606,11,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_3,754.7256290790808,15,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_4,41.81171750408951,21,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_5,8.300777557678241,23,19.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
