system:index,area,class,territory,year,.geo
0_0_0,30626.10338728564,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,3060.4784007580115,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,22.527007501220684,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,8.927700805664063E-4,12,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,10.497476358032236,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.22930487176513698,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,1.3909868549804683,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,10.725594159362794,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.4723117866821287,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.9628756506347653,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,18.213610574707058,29,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,53.363212978637705,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,18.672897138488974,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,32415.86073922671,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,3083.9181768499266,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,295.6059550075663,11,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.008042555908203125,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.5542198438720705,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,2.036815005554202,18,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,21.75127706622315,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,21.67395656927478,23,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,270.709720392271,33,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,16051.392533179393,3,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,1559.1146559397812,6,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,60.6325588300176,11,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
