system:index,area,class,territory,year,.geo
0_0_0,9.73662391973864,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,3.945431364624008,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,0.30211933728027324,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,0.0044692350463867185,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.02681537054443361,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.014301553527832031,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,68.64906852117808,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,21.347775008850228,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,2.460185117248537,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,0.013409502075195312,23,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,0.21008202233886691,33,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,3.607121530578607,3,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,0.8339223234863281,6,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,4.364219772949219,11,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,7.381047764648453,12,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,8.928508911132813E-4,13,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,0.9687432387084963,15,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,0.07767834259033202,18,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,0.5553524041137704,21,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,0.2749962645263671,33,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
