ESP	ENG	PT	Metodología	Categoria	ID	Color number
1. Bosque	1. Forest	1. Floresta			1	#1f8d49
1.1. Formación forestal	1.1. Forest formation	1.1. Formação florestal	Mapa general	Cobertura	3	#1f8d49
1.2. Bosque inundable	1.2. Floodable forest	1.2. Floresta inundável	Transversal	Cobertura	6	#026975
2. Formación Natural No Forestal	2. Non Forest Natural Formation	2. Formação natural não florestal			10	#d6bc74
2.1. Formación natural no forestal inundable	2.1. Wetland	2.1. Campo alagado e área pantanosa	Transversal	Cobertura	11	#519799
2.2. Formación campestre o herbazal	2.2. Grassland	2.2. Formação campestre 	Mapa general	Cobertura	12	#d6bc74
2.3. Afloramiento rocoso	2.3. Rocky outcrop	2.3. Afloramento rochoso	Mapa general	Cobertura	29	#ffaa5f
2.4. Otra formación natural no forestal	2.4. Other non forest formations	2.4. Outra formações não florestais	Mapa general	Cobertura	13	#d89f5c
3. Agropecuaria	3. Farming	3. Agropecuária			14	#ffefc3
3.1. Pastos	3.1. Pasture	3.1. Pastagem	Transversal	Uso	15	#edde8e
3.2. Agricultura	3.2. Agriculture	3.2. Agricultura	Transversal	Uso	18	#E974ED
3.3. Silvicultura	3.3. Forest Plantation	3.3. Silvicultura	Transversal	Uso	9	#7a5900
3.4. Palma aceitera	3.4. Palm oil	3.4. Plantações de palmeiras	Transversal	Uso	35	#9065d0
3.5. Mosaico de agricultura y/o pasto	3.5. Mosaico of uses	3.5. Mosaico de usos	Mapa general	Uso	21	#ffefc3
4. Area sin vegetación	4.  Non vegetated area	 4. Área não vegetada			22	#d4271e
4.1. Playa o duna	4.1. Beach, dune and sand spot	4.1. Praia, duna e areal	Mapa general	Cobertura	23	#ffa07a
4.2. Infraestructura urbana	4.2. Urban area	4.2. Area urbanizada	Transversal	Uso	24	#d4271e
4.3. Mineria	4.3. Mining	4.3. Mineração	Transversal	Uso	30	#9c0027
4.4 Otra área natural sin vegetación	 4.4. Other natural non-vegetated area		Mapa general +	Cobertura	68	#e97a7a
4.4. Otra área sin vegetación	4.4. Other non Vegetated Areas	4.4. Outras areas não vegetadas	Mapa general	Uso	25	#db4d4f
4.6. Paneles solares 	4.6 Solar Painel Farm	4.6. Empreendimento Fotovotaico	Mapa general	Uso	75	#c12100
5. Cuerpo de agua	5. Water	5. Corpo d´água 			26	#2532e4
5.1. Río, lago u océano	5.1. River, lake and ocean	5.1. Rio, Lago e oceano	Mapa general	Cobertura/Uso	33	#2532e4
6. No observado	6. Non observed	6. Não observado	Mapa general		27	#d5d5e5
